PaymentID,PaymentDate,Amount,PaymentMethod,OrderID
1,7/5/2023,474.61,E-Wallet,1
2,6/10/2023,429.42,Google Pay,2
3,9/2/2023,182.64,Apple Pay,3
4,3/18/2023,603.98,Debit Card,4
5,3/15/2023,733.92,E-Wallet,5
6,10/26/2023,645.56,Credit Card,6
7,1/3/2023,590.58,Google Pay,7
8,6/27/2023,959.84,Google Pay,8
9,2/13/2023,858.55,Apple Pay,9
10,9/11/2023,443.13,Debit Card,10
11,3/9/2023,720.98,Pay Pal,11
12,6/16/2023,261.21,Apple Pay,12
13,8/5/2023,354.02,E-Wallet,13
14,8/17/2023,651.22,Google Pay,14
15,1/8/2023,628.64,E-Wallet,15
16,6/24/2023,345.05,Debit Card,16
17,5/19/2023,288.16,Apple Pay,17
18,9/14/2023,272.28,Google Pay,18
19,11/14/2022,416.42,Debit Card,19
20,10/21/2023,479.28,Credit Card,20
21,8/17/2023,543.2,Credit Card,21
22,9/15/2023,351.88,Pay Pal,22
23,7/26/2023,567.09,Pay Pal,23
24,11/26/2022,609.38,Apple Pay,24
25,9/13/2023,496.14,Google Pay,25
26,2/28/2023,634.89,E-Wallet,26
27,8/3/2023,491.42,Google Pay,27
28,4/25/2023,292.92,Google Pay,28
29,3/20/2023,304.15,Google Pay,29
30,12/10/2022,307.01,E-Wallet,30
31,8/25/2023,1029.07,E-Wallet,31
32,3/30/2023,387.14,Google Pay,32
33,8/26/2023,190.6,Apple Pay,33
34,8/3/2023,673,Apple Pay,34
35,8/22/2023,277.73,Cash,35
36,7/14/2023,519.22,Cash,36
37,1/24/2023,427.19,Debit Card,37
38,9/18/2023,514.34,Pay Pal,38
39,7/6/2023,523.12,Credit Card,39
40,5/21/2023,337.04,Credit Card,40
41,4/28/2023,616.29,Google Pay,41
42,3/12/2023,543.47,Cash,42
43,9/20/2023,757.12,E-Wallet,43
44,4/28/2023,493.19,Debit Card,44
45,12/11/2022,232.27,Pay Pal,45
46,10/2/2023,251.55,Cash,46
47,8/30/2023,618.45,Debit Card,47
48,6/23/2023,635.39,Cash,48
49,7/25/2023,665.77,Apple Pay,49
50,1/12/2023,827.49,Credit Card,50
51,12/19/2022,521.9,Google Pay,51
52,8/31/2023,646.01,Apple Pay,52
53,8/3/2023,788.78,Pay Pal,53
54,4/25/2023,788.85,Credit Card,54
55,2/2/2023,627.64,Pay Pal,55
56,12/14/2022,445.64,Google Pay,56
57,8/1/2023,725.29,Credit Card,57
58,12/3/2022,302.81,Debit Card,58
59,12/2/2022,463.94,Google Pay,59
60,7/17/2023,305.14,Google Pay,60
61,9/8/2023,340.2,Credit Card,61
62,6/24/2023,557.03,Apple Pay,62
63,6/11/2023,386.16,Debit Card,63
64,1/23/2023,838.21,Pay Pal,64
65,5/5/2023,341.8,Apple Pay,65
66,4/16/2023,361.27,Apple Pay,66
67,5/2/2023,745.74,Cash,67
68,7/4/2023,471.57,Cash,68
69,3/16/2023,526.79,Debit Card,69
70,11/29/2022,456.31,Credit Card,70
71,2/5/2023,414.66,Pay Pal,71
72,6/6/2023,734.72,Debit Card,72
73,5/29/2023,658.75,Debit Card,73
74,4/20/2023,498.45,Credit Card,74
75,2/28/2023,522.59,Cash,75
76,4/1/2023,567.88,Credit Card,76
77,12/12/2022,196.96,Debit Card,77
78,12/14/2022,691.27,Apple Pay,78
79,10/9/2023,422.97,Cash,79
80,3/2/2023,218.68,Google Pay,80
81,5/28/2023,250.78,Debit Card,81
82,8/6/2023,697.73,Google Pay,82
83,10/15/2023,931.88,Pay Pal,83
84,3/11/2023,326.88,Pay Pal,84
85,8/24/2023,708.53,E-Wallet,85
86,5/12/2023,322,Google Pay,86
87,2/7/2023,366.2,Pay Pal,87
88,1/3/2023,890.07,Pay Pal,88
89,2/16/2023,477.93,Google Pay,89
90,1/12/2023,393.03,Pay Pal,90
91,6/27/2023,670.99,Credit Card,91
92,11/1/2022,643.74,Cash,92
93,7/4/2023,1139,Credit Card,93
94,9/28/2023,346.45,E-Wallet,94
95,1/23/2023,322.71,Credit Card,95
96,6/29/2023,655.64,Apple Pay,96
97,5/26/2023,241.82,Debit Card,97
98,8/15/2023,467.85,Pay Pal,98
99,4/16/2023,644.2,Cash,99
