PromotedProductID,ProductID,PromotionID,StartDay,EndDay
1,53,3,11/9/2022,3/31/2023
2,53,81,11/15/2022,3/24/2023
3,77,13,11/19/2022,7/11/2023
4,48,20,8/22/2022,10/2/2023
5,39,38,9/10/2022,9/11/2023
6,59,24,12/11/2022,1/18/2024
7,37,16,11/10/2022,3/3/2023
8,5,48,6/11/2022,8/22/2023
9,17,72,7/16/2022,3/27/2023
10,90,97,8/26/2022,10/4/2023
11,18,89,12/10/2022,11/2/2023
12,77,20,9/2/2022,3/11/2023
13,36,15,10/19/2022,3/25/2023
14,82,97,9/25/2022,2/14/2024
15,54,38,12/15/2022,11/12/2023
16,29,76,11/15/2022,8/9/2023
17,88,96,10/17/2022,7/16/2023
18,91,43,12/13/2022,12/30/2023
19,8,11,7/19/2022,11/27/2023
20,11,85,7/12/2022,6/18/2023
21,56,66,10/17/2022,7/27/2023
22,93,49,10/16/2022,7/14/2023
23,81,71,7/19/2022,8/3/2023
24,74,54,7/12/2022,4/25/2023
25,11,12,12/2/2022,5/30/2023
26,48,76,12/2/2022,9/6/2023
27,15,55,11/8/2022,11/23/2023
28,28,69,9/14/2022,1/21/2024
29,82,13,8/14/2022,7/16/2023
30,30,34,12/19/2022,5/23/2023
31,45,97,11/10/2022,4/25/2023
32,22,55,11/4/2022,7/11/2023
33,1,5,12/1/2022,12/12/2023
34,66,47,7/24/2022,9/4/2023
35,6,75,9/23/2022,8/19/2023
36,27,39,12/10/2022,10/23/2023
37,74,72,7/25/2022,4/21/2023
38,33,81,8/5/2022,3/6/2023
39,66,42,7/20/2022,2/23/2024
40,99,36,8/26/2022,4/24/2023
41,4,82,11/4/2022,1/18/2024
42,64,42,8/19/2022,1/3/2024
43,5,92,8/18/2022,12/7/2023
44,30,33,10/20/2022,12/11/2023
45,52,27,9/26/2022,2/19/2024
46,73,23,12/3/2022,4/15/2023
47,93,32,9/18/2022,3/12/2023
48,92,78,7/20/2022,4/3/2023
49,52,51,8/24/2022,11/7/2023
50,46,49,7/12/2022,5/29/2023
51,32,37,11/14/2022,4/25/2023
52,18,99,7/6/2022,1/18/2024
53,58,40,9/11/2022,1/1/2024
54,27,15,7/21/2022,2/20/2024
55,25,22,11/12/2022,7/7/2023
56,20,67,12/25/2022,7/30/2023
57,45,11,7/21/2022,5/1/2023
58,11,90,7/10/2022,1/1/2024
59,98,37,8/13/2022,6/19/2023
60,36,44,9/15/2022,8/15/2023
61,89,99,12/8/2022,1/17/2024
62,26,25,8/4/2022,12/5/2023
63,51,34,8/25/2022,6/7/2023
64,30,74,11/7/2022,3/27/2023
65,40,97,12/15/2022,7/7/2023
66,64,82,6/8/2022,10/12/2023
67,32,21,8/31/2022,6/3/2023
68,25,26,12/29/2022,2/5/2024
69,51,52,9/7/2022,3/22/2023
70,38,2,9/5/2022,5/1/2023
71,83,74,11/22/2022,4/20/2023
72,1,66,12/25/2022,8/8/2023
73,42,65,12/18/2022,6/5/2023
74,47,28,8/24/2022,7/20/2023
75,65,18,11/22/2022,1/17/2024
76,43,44,11/4/2022,6/6/2023
77,5,22,9/27/2022,2/9/2024
78,38,90,6/18/2022,3/18/2023
79,84,52,7/29/2022,6/15/2023
80,20,92,6/27/2022,6/1/2023
81,93,96,6/16/2022,6/7/2023
82,71,63,12/19/2022,7/18/2023
83,67,57,11/12/2022,2/25/2024
84,79,2,7/1/2022,2/28/2024
85,8,1,8/5/2022,2/9/2024
86,63,40,7/26/2022,2/3/2024
87,4,99,8/8/2022,5/22/2023
88,67,70,8/31/2022,6/25/2023
89,4,80,12/1/2022,7/22/2023
90,18,61,11/26/2022,4/15/2023
91,30,61,8/6/2022,5/4/2023
92,23,36,9/27/2022,7/9/2023
93,11,78,10/15/2022,3/14/2023
94,10,50,6/20/2022,1/23/2024
95,62,92,10/24/2022,3/17/2023
96,13,19,8/26/2022,3/4/2023
97,67,69,9/14/2022,12/3/2023
98,70,23,8/18/2022,5/13/2023
99,63,52,12/2/2022,2/27/2024
100,9,10,8/31/2022,5/7/2023
