"PromotedProductID,ProductID,PromotionID,StartDate,EndDate"
"1,1,1,2023-10-01,2023-10-15"
"2,3,2,2023-10-02,2023-10-16"
"3,5,3,2023-10-03,2023-10-17"
"4,8,4,2023-10-04,2023-10-18"
"5,10,5,2023-10-05,2023-10-19"
"6,12,6,2023-10-06,2023-10-20"
"7,14,7,2023-10-07,2023-10-21"
"8,16,8,2023-10-08,2023-10-22"
"9,18,9,2023-10-09,2023-10-23"
"10,20,10,2023-10-10,2023-10-24"
"11,2,1,2023-10-11,2023-10-15"
"12,4,2,2023-10-12,2023-10-16"
"13,6,3,2023-10-13,2023-10-17"
"14,8,4,2023-10-14,2023-10-18"
"15,10,5,2023-10-15,2023-10-19"
"16,12,6,2023-10-16,2023-10-20"
"17,14,7,2023-10-17,2023-10-21"
"18,16,8,2023-10-18,2023-10-22"
"19,18,9,2023-10-19,2023-10-23"
"20,20,10,2023-10-20,2023-10-24"
"21,1,11,2023-10-21,2023-11-04"
"22,3,12,2023-10-22,2023-11-05"
"23,5,13,2023-10-23,2023-11-06"
"24,8,14,2023-10-24,2023-11-07"
"25,10,15,2023-10-25,2023-11-08"
"26,12,16,2023-10-26,2023-11-09"
"27,14,17,2023-10-27,2023-11-10"
"28,16,18,2023-10-28,2023-11-11"
"29,18,19,2023-10-29,2023-11-12"
"30,20,20,2023-10-30,2023-11-13"
