OrderItem ID,Order ID,Product ID,Quantity,Price,Subtotal
1,,,24.97,958.08,260
2,,,41.28,264.22,281
3,,,37.98,390.98,640
4,,,12.26,156.14,478
5,,,93.56,501.75,155
6,,,85.17,387.09,992
7,,,57.77,106.94,252
8,,,71.65,242.98,251
9,,,55.36,320.47,353
10,,,79.01,554.13,264
11,,,28.91,133.54,301
12,,,63.8,638.13,994
13,,,38.78,258.54,795
14,,,3.68,722.38,67
15,,,28.99,218.37,920
16,,,96.05,82.85,981
17,,,92.94,36.76,775
18,,,27.08,191.7,214
19,,,31.99,296.32,793
20,,,74.57,221.61,132
21,,,48.21,599.6,329
22,,,75.6,379.67,771
23,,,57.62,970.33,725
24,,,64.81,632.38,80
25,,,25.37,332.23,40
26,,,66.03,638.24,223
27,,,56.67,516.03,242
28,,,6.27,820.0,680
29,,,69.31,920.12,359
30,,,84.23,469.23,91
31,,,85.24,907.85,573
32,,,10.76,210.74,597
33,,,90.66,630.1,599
34,,,51.63,288.13,506
35,,,65.75,19.19,577
36,,,59.61,538.77,359
37,,,76.74,389.5,762
38,,,36.35,790.23,321
39,,,37.83,218.37,273
40,,,6.76,942.54,123
41,,,68.43,62.66,34
42,,,55.16,473.67,798
43,,,72.15,708.91,782
44,,,22.93,204.82,670
45,,,59.69,846.55,692
46,,,30.35,995.18,629
47,,,2.16,422.28,168
48,,,93.17,353.08,148
49,,,42.47,853.83,209
50,,,50.73,152.28,924
51,,,27.69,41.72,777
52,,,57.69,954.6,606
53,,,44.1,22.8,538
54,,,94.22,413.83,982
55,,,55.6,678.48,66
56,,,97.02,960.55,990
57,,,84.17,803.16,422
58,,,28.55,262.66,362
59,,,6.41,323.78,997
60,,,17.64,229.66,318
61,,,96.9,620.27,379
62,,,19.5,838.94,123
63,,,65.34,331.63,499
64,,,68.78,156.67,844
65,,,11.02,522.86,256
66,,,3.53,425.07,858
67,,,79.13,845.71,880
68,,,31.67,14.3,733
69,,,47.58,368.05,34
70,,,38.73,246.84,119
71,,,93.59,302.87,141
72,,,35.84,656.62,487
73,,,60.23,697.52,46
74,,,95.33,179.82,609
75,,,59.59,517.97,878
76,,,86.28,65.08,12
77,,,32.23,240.39,550
78,,,8.9,531.26,603
79,,,94.66,913.34,328
80,,,56.31,778.05,728
81,,,13.32,716.79,556
82,,,35.33,530.98,667
83,,,7.14,590.68,900
84,,,79.92,819.84,843
85,,,19.82,700.88,639
86,,,80.71,561.04,694
87,,,93.89,880.97,450
88,,,23.25,182.79,990
89,,,2.18,570.74,270
90,,,8.78,318.51,446
91,,,36.03,72.27,273
92,,,23.89,126.29,569
93,,,95.93,292.68,491
94,,,97.31,112.68,449
95,,,60.49,852.84,187
96,,,84.44,279.1,144
97,,,74.93,452.88,429
98,,,59.48,487.8,267
99,,,64.96,178.25,534
100,,,61.4,218.63,193
101,,,98.55,258.33,386
102,,,86.14,258.89,888
103,,,74.32,516.72,646
104,,,67.75,76.49,984
105,,,30.47,578.47,904
106,,,87.91,223.44,229
107,,,8.74,230.64,27
108,,,34.82,306.77,789
109,,,35.3,113.6,230
110,,,32.45,950.7,382
111,,,42.89,451.86,446
112,,,71.19,962.88,449
113,,,40.63,501.03,194
114,,,17.47,647.69,795
115,,,99.32,262.87,953
116,,,95.58,755.55,985
117,,,3.73,764.28,590
118,,,2.37,962.02,3
119,,,69.24,782.75,64
120,,,66.89,858.67,474
121,,,3.2,618.48,76
122,,,96.11,132.07,907
123,,,73.71,911.16,54
124,,,99.07,974.73,942
125,,,58.7,543.12,654
126,,,88.19,204.25,457
127,,,3.18,57.16,873
128,,,98.52,628.05,595
129,,,44.52,797.62,803
130,,,67.06,117.81,19
131,,,68.72,449.49,869
132,,,94.0,37.93,673
133,,,69.88,435.69,465
134,,,55.87,942.85,647
135,,,53.5,891.29,4
136,,,71.29,594.66,303
137,,,97.71,799.04,957
138,,,60.86,83.64,785
139,,,55.59,913.37,467
140,,,69.15,416.45,453
141,,,15.57,226.53,999
142,,,41.11,994.37,623
143,,,78.08,606.22,118
144,,,91.4,86.26,999
145,,,51.59,370.24,846
146,,,94.04,729.29,925
147,,,69.88,534.53,741
148,,,56.82,460.81,619
149,,,60.05,760.66,50
150,,,62.64,504.38,252
151,,,90.08,799.25,204
152,,,53.93,565.16,198
153,,,30.81,249.67,828
154,,,86.91,136.67,210
155,,,5.58,288.03,391
156,,,67.64,581.19,463
157,,,38.72,216.71,370
158,,,45.68,878.75,115
159,,,39.65,439.9,691
160,,,69.36,823.54,957
161,,,32.66,864.75,484
162,,,97.46,134.27,693
163,,,83.53,659.72,793
164,,,68.79,145.68,930
165,,,96.19,760.02,165
166,,,23.61,234.78,766
167,,,2.5,473.51,655
168,,,73.55,450.42,235
169,,,68.06,442.13,905
170,,,69.05,16.05,711
171,,,52.41,78.01,701
172,,,97.65,186.67,774
173,,,69.69,947.66,465
174,,,16.99,668.31,641
175,,,85.75,137.11,760
176,,,86.84,741.11,310
177,,,91.79,248.28,9
178,,,30.46,17.73,310
179,,,87.2,774.06,613
180,,,69.65,679.46,142
181,,,76.94,828.75,133
182,,,39.34,799.71,874
183,,,62.22,309.49,296
184,,,61.07,908.47,615
185,,,71.85,92.93,509
186,,,95.69,406.11,328
187,,,66.23,511.98,711
188,,,24.14,751.26,6
189,,,92.69,707.76,445
190,,,78.03,538.31,394
191,,,45.57,896.54,538
192,,,17.77,29.26,356
193,,,22.19,193.39,410
194,,,38.15,15.38,750
195,,,80.35,567.04,136
196,,,51.98,519.87,942
197,,,81.46,226.79,597
198,,,67.49,916.7,56
199,,,70.08,87.46,281
200,,,11.32,34.33,410
201,,,63.93,763.78,149
202,,,96.48,262.92,187
203,,,49.1,438.5,806
204,,,99.57,152.9,306
205,,,56.22,724.89,593
206,,,2.82,930.89,646
207,,,24.56,189.06,503
208,,,91.32,54.46,251
209,,,34.96,784.18,463
210,,,27.83,582.42,546
211,,,53.21,994.42,477
212,,,81.12,596.65,332
213,,,94.86,120.43,809
214,,,88.03,905.08,481
215,,,82.11,213.77,940
216,,,74.28,644.37,63
217,,,14.81,12.3,281
218,,,80.49,804.98,962
219,,,85.58,937.71,958
220,,,11.75,954.58,74
221,,,54.66,686.87,586
222,,,95.59,349.38,676
223,,,99.58,736.28,834
224,,,28.07,178.93,12
225,,,68.7,667.18,954
226,,,51.24,328.56,224
227,,,54.6,4.46,614
228,,,6.69,722.84,899
229,,,94.53,288.59,115
230,,,13.94,822.11,234
231,,,9.71,45.52,905
232,,,37.51,734.6,425
233,,,41.71,475.69,426
234,,,11.66,702.48,100
235,,,20.71,779.43,721
236,,,31.89,92.48,300
237,,,3.34,135.55,581
238,,,71.6,139.16,780
239,,,94.46,69.13,738
240,,,92.6,604.44,1000
241,,,64.17,158.33,266
242,,,8.16,77.95,295
243,,,73.16,888.12,332
244,,,10.64,5.39,208
245,,,55.62,90.28,897
246,,,42.39,360.95,432
247,,,84.64,711.47,682
248,,,19.8,115.49,594
249,,,34.48,598.04,962
250,,,2.06,365.11,344
251,,,75.35,42.24,451
252,,,45.84,48.35,544
253,,,34.87,395.72,573
254,,,39.23,487.78,555
255,,,67.46,779.66,764
256,,,24.06,472.53,877
257,,,79.52,501.26,995
258,,,8.66,154.11,787
259,,,1.52,743.55,751
260,,,93.11,744.82,378
261,,,4.69,142.41,552
262,,,58.12,6.69,180
263,,,66.19,417.57,680
264,,,90.6,152.04,895
265,,,72.76,887.47,898
266,,,88.31,113.03,646
267,,,85.41,865.16,810
268,,,29.42,781.48,100
269,,,92.88,307.89,235
270,,,87.74,376.41,399
271,,,75.69,989.63,728
272,,,43.42,146.13,840
273,,,52.29,863.18,257
274,,,68.18,277.27,156
275,,,26.22,608.17,959
276,,,37.84,847.24,180
277,,,13.8,272.32,845
278,,,16.61,527.93,111
