Promoted Product ID,Product ID,Promotion ID,Start Day,End Day
1,,,10/31/2022,3/9/2023
2,,,10/5/2022,2/9/2023
3,,,12/6/2022,8/2/2023
4,,,12/25/2022,6/23/2023
5,,,11/17/2022,8/4/2023
6,,,11/6/2022,12/6/2023
7,,,11/2/2022,11/2/2023
8,,,12/26/2022,3/15/2023
9,,,12/1/2022,4/12/2023
10,,,11/1/2022,11/10/2022
11,,,10/2/2022,2/2/2023
12,,,11/8/2022,3/14/2023
13,,,11/23/2022,3/29/2023
14,,,12/28/2022,1/21/2023
15,,,11/16/2022,11/23/2022
16,,,10/10/2022,9/4/2023
17,,,12/2/2022,1/13/2023
18,,,12/4/2022,8/29/2023
19,,,12/28/2022,6/10/2023
20,,,12/2/2022,3/30/2023
21,,,10/29/2022,12/3/2023
22,,,10/10/2022,2/15/2023
23,,,12/18/2022,2/22/2023
24,,,12/9/2022,11/15/2022
25,,,11/19/2022,12/21/2022
26,,,10/7/2022,6/18/2023
27,,,12/6/2022,8/19/2023
28,,,12/27/2022,11/16/2023
29,,,10/10/2022,10/17/2023
30,,,12/7/2022,1/31/2023
31,,,10/13/2022,9/14/2023
32,,,11/10/2022,11/18/2022
33,,,10/22/2022,9/11/2023
34,,,10/9/2022,4/18/2023
35,,,11/27/2022,2/11/2023
36,,,10/26/2022,3/11/2023
37,,,10/18/2022,4/28/2023
38,,,12/15/2022,10/19/2023
39,,,12/24/2022,2/10/2023
40,,,11/20/2022,8/21/2023
41,,,11/21/2022,11/23/2022
42,,,10/19/2022,2/8/2023
43,,,11/14/2022,8/26/2023
44,,,11/11/2022,11/16/2022
45,,,11/3/2022,12/20/2023
46,,,11/23/2022,2/6/2023
47,,,11/14/2022,12/1/2022
48,,,11/9/2022,5/23/2023
49,,,10/28/2022,9/4/2023
50,,,11/3/2022,9/1/2023
51,,,11/23/2022,2/9/2023
52,,,10/31/2022,10/31/2023
53,,,11/3/2022,9/8/2023
54,,,10/4/2022,10/5/2023
55,,,12/7/2022,7/25/2023
56,,,11/6/2022,7/16/2023
57,,,11/7/2022,8/5/2023
58,,,10/17/2022,12/4/2023
59,,,10/16/2022,10/30/2023
60,,,10/17/2022,8/4/2023
61,,,10/21/2022,2/18/2023
62,,,10/17/2022,1/29/2023
63,,,12/5/2022,4/8/2023
64,,,11/23/2022,1/29/2023
65,,,10/21/2022,11/24/2022
66,,,12/14/2022,2/19/2023
67,,,11/3/2022,7/29/2023
68,,,11/8/2022,3/24/2023
69,,,11/19/2022,7/4/2023
70,,,11/25/2022,2/10/2023
71,,,10/26/2022,9/22/2023
72,,,10/15/2022,11/23/2022
73,,,11/11/2022,1/19/2023
74,,,11/10/2022,3/21/2023
75,,,10/10/2022,2/21/2023
